species,species_code,order,location,pop_code,canton,catchment,seq_name,filtering,sample
Anodonta anatina,AA,21,Scherz,SCZ,AG,Aare,328261_01-AA01_S3,passed,AA01
Anodonta anatina,AA,21,Scherz,SCZ,AG,Aare,328261_02-AA02_S19,passed,AA02
Anodonta anatina,AA,21,Scherz,SCZ,AG,Aare,328261_03-AA03_S5,passed,AA03
Anodonta anatina,AA,21,Scherz,SCZ,AG,Aare,328261_04-AA04_S1,passed,AA04
Anodonta anatina,AA,21,Scherz,SCZ,AG,Aare,334691_01-AA05_S98,passed,AA05
Anodonta anatina,AA,21,Scherz,SCZ,AG,Aare,328261_06-AA07_S10,passed,AA07
Anodonta anatina,AA,21,Scherz,SCZ,AG,Aare,328261_07-AA08_S16,passed,AA08
Anodonta anatina,AA,21,Scherz,SCZ,AG,Aare,328261_08-AA09_S18,passed,AA09
Anodonta anatina,AA,21,Scherz,SCZ,AG,Aare,328261_09-AA10_S8,passed,AA10
Anodonta anatina,AA,21,Scherz,SCZ,AG,Aare,328261_10-AA11_S24,passed,AA11
Anodonta anatina,AA,26,Burtignière,BUR,VD,Aare,334691_02-AA12_S15,passed,AA12
Anodonta anatina,AA,26,Burtignière,BUR,VD,Aare,334691_03-AA13_S44,passed,AA13
Anodonta anatina,AA,26,Burtignière,BUR,VD,Aare,334691_04-AA14_S216,passed,AA14
Anodonta anatina,AA,26,Burtignière,BUR,VD,Aare,334691_05-AA15_S165,passed,AA15
Anodonta anatina,AA,26,Burtignière,BUR,VD,Aare,334691_06-AA16_S362,passed,AA16
Anodonta anatina,AA,26,Burtignière,BUR,VD,Aare,334691_07-AA17_S194,passed,AA17
Anodonta anatina,AA,26,Burtignière,BUR,VD,Aare,334691_08-AA18_S58,passed,AA18
Anodonta anatina,AA,26,Burtignière,BUR,VD,Aare,334691_09-AA19_S210,passed,AA19
Anodonta anatina,AA,26,Burtignière,BUR,VD,Aare,334691_10-AA20_S372,passed,AA20
Anodonta anatina,AA,26,Burtignière,BUR,VD,Aare,334691_11-AA21_S271,passed,AA21
Anodonta anatina,AA,26,Burtignière,BUR,VD,Aare,334691_12-AA22_S220,passed,AA22
Anodonta cygnea,AC,20,Villnachern,VIL,AG,Aare,334696_24-AA23_S40,passed,AA23
Anodonta cygnea,AC,20,Villnachern,VIL,AG,Aare,334696_25-AA24_S360,passed,AA24
Anodonta cygnea,AC,20,Villnachern,VIL,AG,Aare,334696_26-AA25_S304,passed,AA25
Anodonta cygnea,AC,20,Villnachern,VIL,AG,Aare,334696_27-AA26_S112,passed,AA26
Anodonta cygnea,AC,20,Villnachern,VIL,AG,Aare,334696_29-AA28_S392,passed,AA28
Anodonta cygnea,AC,20,Villnachern,VIL,AG,Aare,334696_30-AA29_S184,passed,AA29
Anodonta cygnea,AC,20,Villnachern,VIL,AG,Aare,334696_31-AA30_S260,passed,AA30
Anodonta cygnea,AC,20,Villnachern,VIL,AG,Aare,334696_32-AA31_S226,passed,AA31
Anodonta cygnea,AC,20,Villnachern,VIL,AG,Aare,334696_33-AA32_S305,passed,AA32
Anodonta cygnea,AC,20,Villnachern,VIL,AG,Aare,334696_34-AA33_S211,passed,AA33
Anodonta cygnea,AC,20,Villnachern,VIL,AG,Aare,334696_35-AA34_S174,passed,AA34
Anodonta cygnea,AC,20,Villnachern,VIL,AG,Aare,334696_36-AA35_S122,passed,AA35
Anodonta cygnea,AC,20,Villnachern,VIL,AG,Aare,334696_37-AA36_S375,passed,AA36
Anodonta cygnea,AC,20,Villnachern,VIL,AG,Aare,334696_38-AA37_S78,passed,AA37
Anodonta anatina,AA,24,Brümeliweiher,BRU,BE,Aare,334691_13-AA38_S146,passed,AA38
